S.No,Book Title,Author,Translation Author,ISBN,Book Code,"Digital 
Copyrights","Digitized 
(PDF Unicode Text)",eBook (EPUB),"Amazon Kindle 
Link","Google Playbooks 
Link","References 
Link",Audio Books,"Google Link for 
Audio Books"
127,Empowering the Youth: Swami Vivekananda Way,Dr M Sivaramkrishna,,9788175053946,AVE126,,,,,,,,
128,Swami Vivekananda in Pictures,Compilation,,9788175053984,AVE127,,,,,,,,
129,Vivekananda Tells Stories,Swami Atmashraddhananda,,9788175053977,AVE128,,,,,,,,
130,Quiz on Swami Vivekananda,Swami Vaikunthananda,,9788175053670,AVE129,,,,,,,,
131,A Bouquet of Swami Vivekananda's Writings,Compilation,,9788175054004,AVE130,,,,,,,,
132,The Way to Women's Freedom,Anjana Gangopadhyay,,9788175054042,AVE131,,,,,,,,
133,The Ships of Vivekananda,Somenath Mukherjee,,9788175053991,AVE132,,,,,,,,
134,The Universal Vivekananda,Anthology,,9788175054202,AVE133,,,,,,,,
135,Approaches to Human Development,"Sukanya Ray, Anil Baran Ray",,9788175054264,AVE135,,,,,,,,
136,Vivekananda in England & Continental Europe,Asim Chaudhuri,,9788175054370,AVE136,,,,,,,,
137,Vivekananda: The Ultimate Paradox Manager,Asim Chaudhuri,,9788175054493,AVE137,,,,,,,,
138,VIVEKANANDA LIFE AND TEACHINGS,,,9788175053540,AVE138,,,,,,,,
139,THE AWAKENING - JAGARAN (ENG-HIN-BEN),A PICTORIAL COMPILATION OF SWAMI VIVEKANANDA'S QUOTES,,9788175054790,AVE139,,,,,,,,
140,EXCEPTIONAL TRAITS OF SWAMI VIVEKANANDA,Dr. Sudhish Chandra Banerjee,,9788175054899,AVE140,,,,,,,,
141,VIVEKANANDA AS THE TURNING POINT (PRM),Compilation,,9788175056008,AVE141,,,,,,,,
142,SWAMI VIVEKANANDA ON HIMSELF (PRM),Swami Vivekananda,,9788175056039,AVE142,,,,,,,,
143,VIVEKANANDA A BORN LEADER (PRM),Asim Chaudhuri,,9788175056046,AVE143,,,,,,,,
144,NATION BUILDING THRO. CHARACTER BUILDING,Swami Vivekananda,,9788175055100,AVE144,,,,,,,,
145,SHIVAJI THE GREAT- VIEWED BY VIVEKANANDA,Dr. M. C. Nanjunda Rao,,9788175055117,AVE146,,,,,,,,
146,THE STORY OF INDIA-JAPAN RELATIONSHIP: SWAMI VIVEKANANDA & OKAKURA   TENSHIN - THE MODERN ERA PIONEERS,Swami Medhasananda,,9788175055094,AVE147,,,,,,,,
147,VIVEKANANDA SMRTIH,Editor: Swami Kritarthananda,,9788175055162,AVE148,,,,,,,,
148,A Study of Mundaka Upanishad,Swami Vivekananda,,9788175052154,ASE054,,,,,,,,
149,Gita as viewed by Swami Vivekananda,Swami Vivekananda,,9788175053328,ASE070,,,,,,,,
150,The Disciples of Sri Ramakrishna,Swami Gambhirananda,,9788175053366,ADE001,,,,,,,,
151,Memories of a Loving Soul: Sw. Premananda Teachings & Reminiscences,Swami Premananda,,9788175050945,ADE002,,,,,,,,
152,Swami Premananda: Love Incarnate,Swami Chetanananda,,9788175052529,ADE012,,,,,,,,
153,Spiritual Talks : By the First Disciples of Sri Ramakrishna,Compilation,,9788175050952,ADE003,,,,,,,,
154,They Lived with God,Swami Chetanananda,,9788185301020,ADE004,,,,,,,,
155,God Lived with Them,Swami Chetanananda,,9788175051980,ADE008,,,,,,,,
156,Swami Akhandananda,Swami Annadananda,,9788185301044,ADE005,,,,,,,,
157,Swami Akhandananda as We Saw Him [HB],Swami Chetanananda,,9788175052611,ADE013,,,,,,,,
158,Spiritual Treasures: Letters of Swami Turiyananda …[HB],Swami Chetanananda,,9788185301242,ADE006,,,,,,,,
159,Letters for Spiritual Seekers: Letters of Swami Shivananda,Swami Lokeswarananda,,9788175051799,ADE007,,,,,,,,
160,Swami Trigunatita: His Life & Work … [HB],Marie Louise Burke,,9788175052062,ADE009,,,,,,,,
161,Mahapurush Maharaj as We Saw Him [HB],"His Devotees, Monastic & Lay",,9788175052048,ADE010,,,,,,,,
162,How a Shepherd Became a Saint —Life of Sw. Adbhutananda,Swami Chetanananda,,9788175052338,ADE011,,,,,,,,
163,What the Disciples Said About It —Teachings   of disciples of Ramakrishna [HB],Edith D. Tipple,,9788175052758,ADE014,,,,,,,,
164,Precepts for Perfection,Sabina Thorne,,9788175052949,ADE015,,,,,,,,
165,Girish Chandra Ghosh,Swami Chetanananda,,9788175053304,ADE016,,,,,,,,
166,Sri Mahendra Nath Gupta,Swami Chetanananda,,9788175053588,ADE017,,,,,,,,
167,A Guide to Spiritual Life,SW. CHETANANANDA (TRANSLATION),,9788175054080,ADE018,,,,,,,,
168,In the Divine Realm,,,9788175054455,ADE019,,,,,,,,
169,Swami Subodhananda: His Life & Teachings,,,9788175054516,ADE020,,,,,,,,
170,ETERNAL WORDS,SWAMI SIDDHANANDA,,9788175054769,ADE021,,,,,,,,
171,GOD LIVED WITH THEM (PREMIUM),Swami Chetanananda,,9788175056022,ADE022,,,,,,,,
172,Bhagavad Gita (Swarupananda) … … [HB] (Devanagiri with Eng Translation),Swami Swarupananda,,9788175052628,ASED01,,,,,,,,
173,Brahma Sutras: According to Shankara [HB],Swami Vireswarananda,,9788185301952,ASED25,,,,,,,,
174,Brahma Sutras: According to Ramanuja [HB],Swami Vireswarananda,,9788175050068,ASED27,,,,,,,,
175,Aparokshanubhuti,Swami Vimuktananda,,9788175051072,ASE029,,,,,,,,
176,Panchikaranam,Sankaracharya,,9788175051089,ASE030,,,,,,,,
177,Laghu Vakya Vritti,Sankaracharya,,9788175051096,ASE031,,,,,,,,
178,Avadhuta Gita,Swami Chetanananda,,9788185301266,ASE034,,,,,,,,
179,Shruti Gita,Swami Gambhirananda,,9788175051119,ASE035,,,,,,,,
180,Siva Mahimnah Stotram,Swami Pavitrananda,,9788185301389,ASE041,,,,,,,,
181,Hymns & Prayers to Gods & Goddesses,Swami Pavitrananda,,9788175051164,ASE043,,,,,,,,
182,Kapilopadesha,Swami Tapasyananda,,9788175051171,ASE045,,,,,,,,
183,Vedartha Sangraha … … … … … … … [HB],S S Raghavachar,,9788175051188,ASE046,,,,,,,,
184,Rama Gita,Swami Vijnanananda,,9788175051195,ASE047,,,,,,,,
185,Ramanuja on the Gita,Swami Ramakrishnananda,,9788175051201,ASE049,,,,,,,,
186,Jivan-Mukti-Viveka … … … … … … [HB],Swami Vidyaranya,,9788175051829,ASE050,,,,,,,,
187,Narada Bhakti Sutras … … … … … … [HB],Swami Bhuteshananda,,9788175051997,ASE052,,,,,,,,
188,Sannyasa Upanishads,Swami Atmapriyananda,,9788175054103,ASE071,,,,,,,,
189,Srimad Bhagavata by Swami Gitananda,Swami Gitananda,,9788175054189,ASE073,,,,,,,,
190,ADVAITA MAKARANDA,Lakshmidhara Kavi,,9788175054738,ASE075,,,,,,,,
191,NAISHKARMYA SIDDHI,"Sri Sureswaracharya, S S Raghavachar (Translator)",,9788175054943,ASE072,,,,,,,,
192,NAMA RAMAYANA MAHIMA (SET OF 3 VOLS),"Swami Harshananda,Translator- Dr. Krishnamurty Ramakrishna",,9788175055025,ASE076,,,,,,,,
193,THE CENTRAL THEME OF THE GITA,Swami Premeshananda,,9788175055124,ASE080,,,,,,,,
194,Bhagavad Gita (Madhusudana Sarasvati) [HB],Swami Gambhirananda,,9788175051942,ASE002,,,,,,,,
195,Bhagavad Gita with Shankara’s Commentary,Swami Gambhirananda,,9788175050419,ASED03,,,,,,,,
196,Chandogya Upanishad (Shankara) … [HB],Swami Gambhirananda,,9788175051003,ASED16,,,,,,,,
197,Svetasvatara Upanishad (Shankara),Swami Gambhirananda,,9788175051034,ASE020,,,,,,,,
198,Brahma Sutra Bhashya (Shankara) … [HB],Swami Gambhirananda,,9788175051058,ASE023,,,,,,,,
